,state,action,reward,next_state,fare,comm_rate,discount,Marketing
677,[[297  17]],1,1561.3532800000003,[[283  18]],1.2,0.8,0.0,False
678,[[283  18]],0,1779.25842,[[303  18]],1.2,0.85,0.0,False
679,[[303  18]],2,1680.56322,[[291  17]],1.2,0.85,0.0,False
680,[[291  17]],1,1808.1152,[[326  17]],1.2,0.8,0.0,False
681,[[326  17]],1,1501.8843,[[296  20]],1.2,0.75,0.0,False
682,[[296  20]],0,1630.7100799999998,[[296  16]],1.2,0.8,0.0,False
683,[[296  16]],1,1423.7109,[[279  20]],1.2,0.75,0.0,False
684,[[279  20]],2,1350.2685,[[263  18]],1.2,0.75,0.0,False
685,[[263  18]],0,1637.87488,[[298  13]],1.2,0.8,0.0,False
686,[[298  13]],1,1569.1763999999998,[[296  16]],1.2,0.75,0.0,False
687,[[296  16]],1,1365.8724799999998,[[289  15]],1.2,0.7,0.0,False
688,[[289  15]],0,1430.7156,[[276  16]],1.2,0.75,0.0,False
689,[[276  16]],0,1612.39104,[[294  20]],1.2,0.8,0.0,False
690,[[294  20]],0,1699.57262,[[295  18]],1.2,0.85,0.0,False
691,[[295  18]],2,1751.5249600000002,[[299  22]],1.2,0.85,0.0,False
692,[[299  22]],2,1790.64264,[[297  20]],1.2,0.85,0.0,False
693,[[297  20]],1,1624.8752,[[296  18]],1.2,0.8,0.0,False
694,[[296  18]],2,1848.23744,[[329  15]],1.2,0.8,0.0,False
695,[[329  15]],1,1452.0614999999998,[[286  16]],1.2,0.75,0.0,False
696,[[286  16]],0,1515.66848,[[281  13]],1.2,0.8,0.0,False
697,[[281  13]],1,1717.3962000000001,[[327  17]],1.2,0.75,0.0,False
698,[[327  17]],2,1436.4851999999998,[[283  17]],1.2,0.75,0.0,False
699,[[283  17]],0,1565.3084800000001,[[289  14]],1.2,0.8,0.0,False
700,[[289  14]],2,1761.83552,[[305  19]],1.2,0.8,0.0,False
