,nP_share,nV_share,Platform_rev
538,0.204,0.095,1077.1267199999998
539,0.1875,0.06,1024.224
540,0.177,0.105,852.2484599999999
541,0.1835,0.12,857.3185599999999
542,0.1815,0.09,724.35348
543,0.1735,0.05,673.0572
544,0.166,0.065,662.3349599999999
545,0.18,0.085,831.04098
546,0.177,0.105,740.5218
547,0.181,0.055,848.77352
548,0.171,0.125,926.6793600000001
549,0.1825,0.115,1131.6236399999998
550,0.1725,0.085,1066.1155199999998
551,0.188,0.105,1021.0539200000001
552,0.1765,0.095,1076.77152
553,0.163,0.085,1077.5972
554,0.1715,0.08,1328.6972600000001
555,0.191,0.095,1588.08792
556,0.1905,0.105,1398.9498600000002
557,0.177,0.095,1450.5739199999998
558,0.1685,0.055,1360.7565599999998
559,0.168,0.045,1472.2032
560,0.165,0.085,1457.3410800000001
561,0.1615,0.095,1304.52504
562,0.1755,0.085,1317.9269399999998
563,0.1615,0.065,1092.2197999999999
564,0.1635,0.1,1227.7782000000002
565,0.16,0.085,1197.4230400000001
566,0.1595,0.055,1057.9252
567,0.155,0.105,1155.9125600000002
568,0.1665,0.09,1258.71108
569,0.165,0.12,1341.4831199999999
570,0.169,0.09,1371.40368
571,0.1475,0.08,1204.74552
572,0.1715,0.075,1413.6088799999998
573,0.1765,0.065,1572.52706
574,0.161,0.125,1527.9378799999997
575,0.1595,0.11,1528.0563199999997
576,0.1735,0.08,1684.4674
577,0.1605,0.08,1589.3307
578,0.1605,0.08,1721.60832
579,0.1695,0.085,1744.7139
580,0.156,0.045,1522.2815999999998
581,0.17,0.07,1502.82652
582,0.167,0.09,1349.46912
583,0.1635,0.1,1431.4872
584,0.165,0.06,1342.45224
585,0.1665,0.095,1369.05984
586,0.162,0.085,1457.7966000000001
587,0.15,0.08,1442.37912
588,0.1625,0.065,1535.9817199999998
589,0.1735,0.075,1519.97066
590,0.162,0.085,1579.5250799999997
591,0.16,0.075,1518.5539599999997
592,0.1715,0.065,1620.9745999999998
593,0.1665,0.07,1480.6162800000002
594,0.1585,0.075,1389.76214
595,0.162,0.095,1305.69768
596,0.162,0.09,1442.27694
597,0.161,0.05,1538.1682399999997
598,0.1615,0.06,1702.3718999999999
599,0.1575,0.04,1502.5365599999998
600,0.145,0.07,1316.8766
601,0.1405,0.11,1152.9563999999998
602,0.15,0.095,1318.37784
603,0.1575,0.085,1532.3170799999998
604,0.141,0.095,1413.0828
605,0.1595,0.075,1550.6657599999999
606,0.149,0.065,1442.6468
607,0.155,0.09,1584.0041999999999
608,0.1625,0.085,1794.7024000000001
609,0.147,0.08,1723.2614399999998
610,0.1435,0.1,1592.1173199999998
611,0.151,0.095,1736.0923599999999
612,0.1515,0.065,1658.2176
613,0.1515,0.1,1554.2883
614,0.1725,0.085,1934.82528
615,0.151,0.105,1657.8656
616,0.1525,0.085,1582.1805
617,0.1545,0.05,1491.8274
618,0.161,0.075,1615.7057999999997
619,0.1645,0.12,1612.19968
