,Unnamed: 0,origin,destination,treq,tarr,ttrav,origin_x,origin_y,destination_x,destination_y,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,dist
10573,10683,46299430,46496228,2020-10-27 17:49:00,1900-01-01 18:01:00,0 days 00:12:00,4.92544,52.35188,4.9548058,52.3972193,True,3.0,1820.0,501.6488345821476,0.0,1414.0,2.0,"[['WALK', 208, 259], ['BUS', 1414, 9560], ['WALK', 196, 241]]",8153
10579,10689,46473695,46465576,2020-10-27 17:34:00,1900-01-01 17:53:00,0 days 00:19:00,4.9613799,52.3906536,4.9121,52.3887,True,3.0,1608.0,1308.453601487929,0.0,541.0,2.0,"[['WALK', 574, 712], ['BUS', 541, 3382], ['WALK', 491, 595]]",4344
10583,10693,46256277,46496892,2020-10-27 17:15:00,1900-01-01 18:01:00,0 days 00:46:00,4.947116,52.3419592,4.9572616,52.3973679,True,3.0,2654.0,572.2007669106215,1.0,2132.0,51.0,"[['WALK', 191, 222], ['BUS', 346, 2685], ['WALK', 11, 11], ['BUS', 1786, 11114], ['WALK', 269, 337]]",8213
10585,10695,46469777,46419488,2020-10-27 17:39:00,1900-01-01 18:17:00,0 days 00:38:00,4.9657139,52.3897793,4.8849294,52.3786148,True,3.0,2475.0,2044.990503741603,1.0,775.0,38.0,"[['WALK', 342, 437], ['BUS', 219, 1713], ['WALK', 146, 191], ['TRAM', 556, 4302], ['WALK', 1174, 1415]]",9453
10593,10703,46502590,46469697,2020-10-27 17:47:00,1900-01-01 18:01:00,0 days 00:14:00,4.9284932,52.3991202,4.9549963,52.3897435,True,3.0,875.0,800.8423007479979,0.0,231.0,2.0,"[['WALK', 424, 529], ['BUS', 231, 1751], ['WALK', 218, 271]]",2684
10602,10712,46250042,46486599,2020-10-27 17:49:00,1900-01-01 18:01:00,0 days 00:12:00,4.9455809,52.3406015,4.9469802,52.3939654,True,3.0,2707.0,1111.0781654049456,1.0,1770.0,45.0,"[['WALK', 356, 424], ['TRAM', 535, 2403], ['WALK', 45, 56], ['BUS', 1235, 8461], ['WALK', 491, 629]]",8633
10616,10726,46311730,46502230,2020-10-27 17:48:00,1900-01-01 18:01:00,0 days 00:13:00,4.9061834,52.3546075,4.9557451,52.3991028,True,3.0,2444.0,1034.659804499281,1.0,1554.0,54.0,"[['WALK', 417, 524], ['TRAM', 486, 2210], ['BUS', 1068, 7174], ['WALK', 419, 509]]",8424
10617,10727,2791236365,46497049,2020-10-27 17:49:00,1900-01-01 18:01:00,0 days 00:12:00,4.9559085,52.3444498,4.951569,52.397369,True,3.0,2569.0,955.66498495776,1.0,1770.0,45.0,"[['WALK', 677, 856], ['TRAM', 535, 2403], ['WALK', 45, 56], ['BUS', 1235, 8461], ['WALK', 32, 42]]",8439
10622,10732,2601021023,46481410,2020-10-27 17:47:00,1900-01-01 18:01:00,0 days 00:14:00,4.8383703,52.3756515,4.962553,52.3924892,True,3.0,4010.0,1314.3917669073946,2.0,2258.0,704.0,"[['WALK', 403, 493], ['TRAM', 1560, 5230], ['WALK', 106, 137], ['SUBWAY', 296, 3704], ['WALK', 156, 203], ['BUS', 402, 2111], ['WALK', 383, 479]]",12526
10627,10737,46332481,46459041,2020-10-27 17:46:00,1900-01-01 18:01:00,0 days 00:15:00,4.8368549,52.3593053,4.955516,52.3874319,True,3.0,3436.0,849.9697368342081,1.0,2625.0,119.0,"[['WALK', 250, 300], ['TRAM', 1636, 7327], ['BUS', 989, 7088], ['WALK', 442, 549]]",12587
10640,10750,46311895,3593506124,2020-10-27 17:17:00,1900-01-01 18:01:00,0 days 00:44:00,4.9385809,52.3546428,4.9630494,52.3907771,True,3.0,1927.0,1227.7621654049458,0.0,944.0,2.0,"[['WALK', 718, 894], ['BUS', 944, 6433], ['WALK', 263, 333]]",6459
10644,10754,46463930,46493685,2020-10-27 17:06:00,1900-01-01 17:13:00,0 days 00:07:00,4.959021,52.3883398,4.9412976,52.3962537,True,3.0,836.0,888.4071879674988,0.0,132.0,2.0,"[['WALK', 632, 797], ['BUS', 132, 944], ['WALK', 70, 90]]",2050
