====================================================================
====================================================================
New simulation started at:    2023-02-10 12:41:58.320527
act_size:    3
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP
339,30,1,2,0.4,2.0,0,False,177.94,37,4
340,37,4,1,0.35,2.0,0,False,154.32,35,6
341,35,6,1,0.3,2.0,0,False,80.26,28,2
342,28,2,1,0.25,2.0,0,False,95.98,29,2
343,29,2,1,0.2,2.0,0,False,86.72,39,6
344,39,6,0,0.25,2.0,0,False,82.89,30,5
345,30,5,2,0.25,2.0,0,False,93.79,36,2
346,36,2,2,0.25,2.0,0,False,69.17,29,4
347,29,4,2,0.25,2.0,0,False,138.35,45,0
348,45,0,0,0.3,2.0,0,False,101.48,33,3
349,33,3,1,0.25,2.0,0,False,95.6,25,2
350,25,2,0,0.3,2.0,0,False,85.63,28,3
351,28,3,0,0.35,2.0,0,False,127.92,33,2
352,33,2,0,0.4,2.0,0,False,157.4,32,3
353,32,3,1,0.35,2.0,0,False,136.07,35,4
354,35,4,2,0.35,2.0,0,False,119.91,31,4
355,31,4,1,0.3,2.0,0,False,92.94,24,6
356,24,6,1,0.25,2.0,0,False,74.23,30,1
357,30,1,0,0.3,2.0,0,False,120.49,38,4
358,38,4,2,0.3,2.0,0,False,125.75,35,3
359,35,3,0,0.35,2.0,0,False,91.47,24,5
360,24,5,2,0.35,2.0,0,False,166.27,41,7
361,41,7,1,0.3,2.0,0,False,129.0,38,6
362,38,6,2,0.3,2.0,0,False,136.03,34,4
363,34,4,1,0.25,2.0,0,False,55.66,21,7
364,21,7,1,0.2,2.0,0,False,50.45,23,4
365,23,4,0,0.25,2.0,0,False,85.85,28,1
366,28,1,0,0.3,2.0,0,False,143.22,42,3
367,42,3,2,0.3,2.0,0,False,137.93,41,2
368,41,2,1,0.25,2.0,0,False,68.19,26,6
369,26,6,0,0.3,2.0,0,False,83.17,26,4
370,26,4,1,0.25,2.0,0,False,86.05,29,8
371,29,8,1,0.2,2.0,0,False,69.46,31,2
372,31,2,0,0.25,2.0,0,False,86.2,32,6
373,32,6,1,0.2,2.0,0,False,70.31,27,6
374,27,6,0,0.25,2.0,0,False,121.77,42,1
375,42,1,1,0.2,2.0,0,False,50.22,22,4
376,22,4,0,0.25,2.0,0,False,89.23,33,5
377,33,5,2,0.25,2.0,0,False,89.8,30,5
378,30,5,0,0.3,2.0,0,False,79.58,24,2
379,24,2,0,0.35,2.0,0,False,151.53,41,4
380,41,4,1,0.3,2.0,0,False,98.32,30,6
381,30,6,2,0.3,2.0,0,False,104.7,34,7
382,34,7,2,0.3,2.0,0,False,110.92,34,2
383,34,2,1,0.25,2.0,0,False,68.64,24,6
384,24,6,2,0.25,2.0,0,False,108.43,33,3
385,33,3,0,0.3,2.0,0,False,87.58,28,4
386,28,4,1,0.25,2.0,0,False,51.51,20,5
387,20,5,0,0.3,2.0,0,False,122.72,36,4
388,36,4,0,0.35,2.0,0,False,140.66,35,4
389,35,4,1,0.3,2.0,0,False,129.84,40,2
390,40,2,1,0.25,2.0,0,False,91.73,34,4
391,34,4,1,0.2,2.0,0,False,52.06,22,6
392,22,6,2,0.2,2.0,0,False,58.37,30,2
393,30,2,2,0.2,2.0,0,False,65.91,31,3
394,31,3,1,0.15,2.0,0,False,55.69,30,1
395,30,1,1,0.1,2.0,0,False,31.44,28,5
396,28,5,0,0.15,2.0,0,False,50.23,32,1
397,32,1,2,0.15,2.0,0,False,49.2,29,4
398,29,4,0,0.2,2.0,0,False,61.85,25,6
399,25,6,1,0.15,2.0,0,False,55.88,36,6
400,36,6,0,0.2,2.0,0,False,74.64,33,4
401,33,4,1,0.15,2.0,0,False,41.12,26,2
402,26,2,1,0.1,2.0,0,False,41.13,35,7
403,35,7,2,0.1,2.0,0,False,30.68,27,7
404,27,7,2,0.1,2.0,0,False,41.96,39,1
405,39,1,1,0.05,2.0,0,False,24.56,39,3
406,39,3,0,0.1,2.0,0,False,36.84,36,5
407,36,5,0,0.15,2.0,0,False,51.05,32,6
408,32,6,0,0.2,2.0,0,False,88.6,38,4
409,38,4,2,0.2,2.0,0,False,62.47,27,7
410,27,7,2,0.2,2.0,0,False,98.68,42,12
411,42,12,1,0.15,2.0,0,False,54.73,35,7
412,35,7,0,0.2,2.0,0,False,85.41,36,3
413,36,3,2,0.2,2.0,0,False,81.5,33,3
414,33,3,1,0.15,2.0,0,False,74.88,44,6
415,44,6,1,0.1,2.0,0,False,27.01,23,3
416,23,3,0,0.15,2.0,0,False,33.37,21,6
417,21,6,2,0.15,2.0,0,False,53.23,30,4
418,30,4,0,0.2,2.0,0,False,95.68,39,6
419,39,6,0,0.25,2.0,0,False,97.66,38,5
420,38,5,1,0.2,2.0,0,False,36.66,20,4
421,20,4,1,0.15,2.0,0,False,72.3,46,8
422,46,8,1,0.1,2.0,0,False,33.85,30,4
423,30,4,2,0.1,2.0,0,False,26.67,26,5
424,26,5,2,0.1,2.0,0,False,25.75,23,8
