====================================================================
====================================================================
New simulation started at:    2023-02-27 02:28:13.090139
Baseline: 
====================================================================
====================================================================
day,nP,nV,Action,Commrate,fare,discount,daily_marketing,reward,new_nV,new_nP,plat_rev,plat_rev_wod,marketing_cost
226,847,82,-,0.1,1.2,0,False,547.3,831,79,547.3,547.3,0
227,831,79,-,0.1,1.2,0,False,554.79,844,83,554.79,554.79,0
228,844,83,-,0.1,1.2,0,False,564.53,861,88,564.53,564.53,0
229,861,88,-,0.1,1.2,0,False,574.49,876,80,574.49,574.49,0
230,876,80,-,0.1,1.2,0,False,555.45,853,81,555.45,555.45,0
231,853,81,-,0.1,1.2,0,False,564.8,853,84,564.8,564.8,0
232,853,84,-,0.1,1.2,0,False,571.21,874,86,571.21,571.21,0
233,874,86,-,0.1,1.2,0,False,578.07,873,88,578.07,578.07,0
234,873,88,-,0.1,1.2,0,False,571.78,870,83,571.78,571.78,0
235,870,83,-,0.1,1.2,0,False,563.16,866,88,563.16,563.16,0
236,866,88,-,0.1,1.2,0,False,595.92,904,88,595.92,595.92,0
237,904,88,-,0.1,1.2,0,False,567.45,878,89,567.45,567.45,0
238,878,89,-,0.1,1.2,0,False,588.18,908,80,588.18,588.18,0
239,908,80,-,0.1,1.2,0,False,600.36,907,85,600.36,600.36,0
240,907,85,-,0.1,1.2,0,False,584.47,895,84,584.47,584.47,0
241,895,84,-,0.1,1.2,0,False,603.67,923,82,603.67,603.67,0
242,923,82,-,0.1,1.2,0,False,607.57,924,88,607.57,607.57,0
243,924,88,-,0.1,1.2,0,False,605.75,927,81,605.75,605.75,0
244,927,81,-,0.1,1.2,0,False,588.37,909,90,588.37,588.37,0
245,909,90,-,0.1,1.2,0,False,597.29,918,81,597.29,597.29,0
246,918,81,-,0.1,1.2,0,False,606.74,917,80,606.74,606.74,0
247,917,80,-,0.1,1.2,0,False,604.84,925,80,604.84,604.84,0
248,925,80,-,0.1,1.2,0,False,597.38,920,85,597.38,597.38,0
249,920,85,-,0.1,1.2,0,False,605.04,920,89,605.04,605.04,0
250,920,89,-,0.1,1.2,0,False,595.29,916,94,595.29,595.29,0
251,916,94,-,0.1,1.2,0,False,598.22,919,94,598.22,598.22,0
252,919,94,-,0.1,1.2,0,False,617.76,954,89,617.76,617.76,0
253,954,89,-,0.1,1.2,0,False,615.15,943,89,615.15,615.15,0
254,943,89,-,0.1,1.2,0,False,620.91,953,84,620.91,620.91,0
255,953,84,-,0.1,1.2,0,False,622.32,958,86,622.32,622.32,0
256,958,86,-,0.1,1.2,0,False,617.04,955,87,617.04,617.04,0
257,955,87,-,0.1,1.2,0,False,610.85,928,94,610.85,610.85,0
258,928,94,-,0.1,1.2,0,False,617.94,956,91,617.94,617.94,0
259,956,91,-,0.1,1.2,0,False,624.35,955,94,624.35,624.35,0
260,955,94,-,0.1,1.2,0,False,638.12,977,92,638.12,638.12,0
261,977,92,-,0.1,1.2,0,False,626.76,962,94,626.76,626.76,0
262,962,94,-,0.1,1.2,0,False,623.29,956,87,623.29,623.29,0
263,956,87,-,0.1,1.2,0,False,636.57,970,89,636.57,636.57,0
264,970,89,-,0.1,1.2,0,False,633.08,971,88,633.08,633.08,0
265,971,88,-,0.1,1.2,0,False,634.13,977,95,634.13,634.13,0
266,977,95,-,0.1,1.2,0,False,614.18,949,92,614.18,614.18,0
267,949,92,-,0.1,1.2,0,False,640.47,990,90,640.47,640.47,0
268,990,90,-,0.1,1.2,0,False,646.47,997,94,646.47,646.47,0
269,997,94,-,0.1,1.2,0,False,631.57,976,95,631.57,631.57,0
270,976,95,-,0.1,1.2,0,False,639.47,986,89,639.47,639.47,0
271,986,89,-,0.1,1.2,0,False,641.18,985,90,641.18,641.18,0
272,985,90,-,0.1,1.2,0,False,642.07,995,95,642.07,642.07,0
273,995,95,-,0.1,1.2,0,False,646.03,994,89,646.03,646.03,0
274,994,89,-,0.1,1.2,0,False,658.02,1006,91,658.02,658.02,0
275,1006,91,-,0.1,1.2,0,False,649.66,1002,91,649.66,649.66,0
276,1002,91,-,0.1,1.2,0,False,658.61,1011,97,658.61,658.61,0
277,1011,97,-,0.1,1.2,0,False,651.53,1006,101,651.53,651.53,0
278,1006,101,-,0.1,1.2,0,False,642.01,998,100,642.01,642.01,0
279,998,100,-,0.1,1.2,0,False,634.84,993,96,634.84,634.84,0
280,993,96,-,0.1,1.2,0,False,650.55,1008,95,650.55,650.55,0
281,1008,95,-,0.1,1.2,0,False,652.13,1007,99,652.13,652.13,0
282,1007,99,-,0.1,1.2,0,False,657.46,1013,104,657.46,657.46,0
283,1013,104,-,0.1,1.2,0,False,671.99,1023,96,671.99,671.99,0
284,1023,96,-,0.1,1.2,0,False,654.95,1010,94,654.95,654.95,0
285,1010,94,-,0.1,1.2,0,False,667.96,1029,95,667.96,667.96,0
286,1029,95,-,0.1,1.2,0,False,649.96,1007,97,649.96,649.96,0
287,1007,97,-,0.1,1.2,0,False,653.8,1019,98,653.8,653.8,0
288,1019,98,-,0.1,1.2,0,False,659.26,1021,92,659.26,659.26,0
289,1021,92,-,0.1,1.2,0,False,657.53,1024,98,657.53,657.53,0
290,1024,98,-,0.1,1.2,0,False,663.37,1021,99,663.37,663.37,0
291,1021,99,-,0.1,1.2,0,False,652.81,1011,91,652.81,652.81,0
292,1011,91,-,0.1,1.2,0,False,662.41,1023,92,662.41,662.41,0
293,1023,92,-,0.1,1.2,0,False,658.96,1018,99,658.96,658.96,0
294,1018,99,-,0.1,1.2,0,False,654.24,1013,100,654.24,654.24,0
295,1013,100,-,0.1,1.2,0,False,663.96,1021,95,663.96,663.96,0
296,1021,95,-,0.1,1.2,0,False,669.14,1023,97,669.14,669.14,0
297,1023,97,-,0.1,1.2,0,False,667.22,1024,94,667.22,667.22,0
298,1024,94,-,0.1,1.2,0,False,665.53,1033,97,665.53,665.53,0
299,1033,97,-,0.1,1.2,0,False,674.4,1037,87,674.4,674.4,0
300,1037,87,-,0.5,1.2,0,False,3425.02,1059,92,3425.02,3425.02,0
301,1059,92,-,0.5,1.2,0,False,3350.62,1034,85,3350.62,3350.62,0
302,1034,85,-,0.5,1.2,0,False,3352.26,1042,71,3352.26,3352.26,0
303,1042,71,-,0.5,1.2,0,False,3356.08,1037,50,3356.08,3356.08,0
304,1037,50,-,0.5,1.2,0,False,3318.06,1034,37,3318.06,3318.06,0
305,1034,37,-,0.5,1.2,0,False,3048.87,938,27,3048.87,3048.87,0
306,938,27,-,0.5,1.2,0,False,2522.08,774,24,2522.08,2522.08,0
307,774,24,-,0.5,1.2,0,False,2320.26,708,36,2320.26,2320.26,0
308,708,36,-,0.5,1.2,0,False,2257.65,690,32,2257.65,2257.65,0
309,690,32,-,0.5,1.2,0,False,2177.72,678,24,2177.72,2177.72,0
310,678,24,-,0.5,1.2,0,False,2037.21,623,14,2037.21,2037.21,0
311,623,14,-,0.5,1.2,0,False,1691.11,511,26,1691.11,1691.11,0
312,511,26,-,0.5,1.2,0,False,1611.52,487,16,1611.52,1611.52,0
313,487,16,-,0.5,1.2,0,False,1379.03,415,14,1379.03,1379.03,0
314,415,14,-,0.5,1.2,0,False,1317.04,399,17,1317.04,1317.04,0
315,399,17,-,0.5,1.2,0,False,1194.52,368,6,1194.52,1194.52,0
316,368,6,-,0.5,1.2,0,False,901.3,273,14,901.3,901.3,0
317,273,14,-,0.5,1.2,0,False,905.95,265,17,905.95,905.95,0
318,265,17,-,0.5,1.2,0,False,905.66,265,8,905.66,905.66,0
319,265,8,-,0.5,1.2,0,False,848.72,252,7,848.72,848.72,0
320,252,7,-,0.5,1.2,0,False,677.04,208,11,677.04,677.04,0
321,208,11,-,0.5,1.2,0,False,687.18,203,6,687.18,687.18,0
322,203,6,-,0.5,1.2,0,False,635.76,192,12,635.76,635.76,0
